DOB_ID,Group_Class,GC_Percent,Event_ID,DOB_Area_m2,DOB_Avg_DS,DOB_Max_DS,bui_raw,dsr_raw,dc_raw,dmc_raw,ffm_raw,fwi_raw,isi_raw,tmax_raw,prec_raw,ws_raw,rh_raw,Elev_raw,Slp_raw,Rugg_raw,Northness,Eastness,M_cwd_raw,M_tmax_raw,M_vpd_raw,DOY
AZ3271210988120040626_182,aspen,0.156168662,AZ3271210988120040626,1728900,520.9158189,1134.014764,522.292,34.259,977.791,525.502,96.715,56.433,17.275,33.007,0.08,9.095,12.747,2220,30,0.013,0.761,-0.627,199.394,26.702,1.827,182
AZ3271210988120040626_182,shrub,60.22904737,AZ3271210988120040626,1728900,520.9158189,1134.014764,522.292,34.259,977.791,525.502,96.715,56.433,17.275,33.007,0.08,9.095,12.747,2220,30,0.013,0.761,-0.627,199.394,26.702,1.827,182
AZ3271210988120040626_182,warm_conifer,36.07496096,AZ3271210988120040626,1728900,520.9158189,1134.014764,522.292,34.259,977.791,525.502,96.715,56.433,17.275,33.007,0.08,9.095,12.747,2220,30,0.013,0.761,-0.627,199.394,26.702,1.827,182
AZ3271210988120040626_182,wetland,0.416449766,AZ3271210988120040626,1728900,520.9158189,1134.014764,522.292,34.259,977.791,525.502,96.715,56.433,17.275,33.007,0.08,9.095,12.747,2220,30,0.013,0.761,-0.627,199.394,26.702,1.827,182
AZ3271210988120040626_182,woodland,3.123373243,AZ3271210988120040626,1728900,520.9158189,1134.014764,522.292,34.259,977.791,525.502,96.715,56.433,17.275,33.007,0.08,9.095,12.747,2220,30,0.013,0.761,-0.627,199.394,26.702,1.827,182
AZ3271210988120040626_183,herbaceous,0.724637681,AZ3271210988120040626,3105000,472.8012349,1490.369141,529.387,43.123,987.318,532.713,98.074,64.267,21.372,34.193,0,9.732,8.207,2537.333,26,0.023,0.487,-0.318,199.394,26.702,1.827,183
AZ3271210988120040626_183,mixed_aspen,0.086956522,AZ3271210988120040626,3105000,472.8012349,1490.369141,529.387,43.123,987.318,532.713,98.074,64.267,21.372,34.193,0,9.732,8.207,2537.333,26,0.023,0.487,-0.318,199.394,26.702,1.827,183
AZ3271210988120040626_183,shrub,42.31884058,AZ3271210988120040626,3105000,472.8012349,1490.369141,529.387,43.123,987.318,532.713,98.074,64.267,21.372,34.193,0,9.732,8.207,2537.333,26,0.023,0.487,-0.318,199.394,26.702,1.827,183
AZ3271210988120040626_183,warm_conifer,52.92753623,AZ3271210988120040626,3105000,472.8012349,1490.369141,529.387,43.123,987.318,532.713,98.074,64.267,21.372,34.193,0,9.732,8.207,2537.333,26,0.023,0.487,-0.318,199.394,26.702,1.827,183
AZ3271210988120040626_183,wetland,0.666666667,AZ3271210988120040626,3105000,472.8012349,1490.369141,529.387,43.123,987.318,532.713,98.074,64.267,21.372,34.193,0,9.732,8.207,2537.333,26,0.023,0.487,-0.318,199.394,26.702,1.827,183
AZ3271210988120040626_183,woodland,3.275362319,AZ3271210988120040626,3105000,472.8012349,1490.369141,529.387,43.123,987.318,532.713,98.074,64.267,21.372,34.193,0,9.732,8.207,2537.333,26,0.023,0.487,-0.318,199.394,26.702,1.827,183
AZ3271210988120040626_184,herbaceous,0.065082981,AZ3271210988120040626,5531400,410.4877126,1382.931641,536.768,38.043,997,540.217,98.554,59.873,19.024,35.388,0,6.171,6.873,2108,23.167,0.015,0.286,-0.172,199.394,26.702,1.827,184
AZ3271210988120040626_184,mixed_aspen,0.341685649,AZ3271210988120040626,5531400,410.4877126,1382.931641,536.768,38.043,997,540.217,98.554,59.873,19.024,35.388,0,6.171,6.873,2108,23.167,0.015,0.286,-0.172,199.394,26.702,1.827,184
AZ3271210988120040626_184,shrub,34.68922877,AZ3271210988120040626,5531400,410.4877126,1382.931641,536.768,38.043,997,540.217,98.554,59.873,19.024,35.388,0,6.171,6.873,2108,23.167,0.015,0.286,-0.172,199.394,26.702,1.827,184
AZ3271210988120040626_184,warm_conifer,48.09632281,AZ3271210988120040626,5531400,410.4877126,1382.931641,536.768,38.043,997,540.217,98.554,59.873,19.024,35.388,0,6.171,6.873,2108,23.167,0.015,0.286,-0.172,199.394,26.702,1.827,184
AZ3271210988120040626_184,wetland,0.602017572,AZ3271210988120040626,5531400,410.4877126,1382.931641,536.768,38.043,997,540.217,98.554,59.873,19.024,35.388,0,6.171,6.873,2108,23.167,0.015,0.286,-0.172,199.394,26.702,1.827,184
AZ3271210988120040626_184,woodland,16.20566222,AZ3271210988120040626,5531400,410.4877126,1382.931641,536.768,38.043,997,540.217,98.554,59.873,19.024,35.388,0,6.171,6.873,2108,23.167,0.015,0.286,-0.172,199.394,26.702,1.827,184
AZ3271210988120040626_185,aspen,4.16245852,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,cool_conifer,0.259702785,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,herbaceous,0.144279325,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,mixed_aspen,4.068676959,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,prior burn,0.086567595,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,shrub,31.14269225,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,warm_conifer,45.09450296,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,wetland,0.634829029,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_185,woodland,14.40629058,AZ3271210988120040626,12475800,351.5939117,1544.344482,543.659,42.417,1006.423,547.222,98.606,63.67,21.046,35.989,0,8.04,9.268,2363.357,24.714,0.028,0.677,-0.131,199.394,26.702,1.827,185
AZ3271210988120040626_186,aspen,2.245677775,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,cool_conifer,0.861312954,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,herbaceous,2.7593335,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,mixed_aspen,1.45013781,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,nonfuel,0.673390128,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,shrub,38.85304435,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,warm_conifer,24.95928339,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,wetland,0.338261087,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_186,woodland,27.85955901,AZ3271210988120040626,28735200,1034.786611,4060.209473,551.201,46.137,1019.145,554.861,98.643,66.745,22.767,34.591,0,9.48,10.498,2096.25,23.531,0.016,0.001,0.281,199.394,26.702,1.827,186
AZ3271210988120040626_187,aspen,2.366844208,AZ3271210988120040626,27036000,455.8285191,1847.620117,557.815,40.743,1025.665,561.615,98.693,62.239,20.272,34.536,0,7.072,9.096,2019,26.7,0.017,0.19,0.204,199.394,26.702,1.827,187
